id,title,titleAssamese,location,emoji,story,storyAssamese,tags
11,Naga Head Hunting Stories,Naga Kepi' Kura,Dimapur,⚔️,"Elders would tell us stories of the brave Naga warriors who defended their land. Though head hunting is history, the bravery remains in our blood.",নাগা যোদ্ধাসকলৰ বীৰত্বৰ কথা বিচাৰিয়া আমাক কঁব দিয়াইছিল। সেই বীৰত্ব আজিও আমাত আছে।,"history,naga,warrior"
12,Khasi Rain Dance,Khasi Megh Nritya,Cherrapunji,🌧️,In Cherrapunji we learned to dance in the rain. The Khasi people celebrate the monsoon as a blessing. Children splash in puddles while elders smile.,চিৰাপঞ্জিত আমি বৃষ্টিত নাচি শিকাম। খাসী লোকে বৰষুণক আশীৰ্বাদ মনে কৰে।,"nature,festival,khasi"
13,Manipur Polo Match,Sagol Kangjei,Imphal,🐴,The traditional polo match of Manipur was unlike any sport. Players on ponies with bamboo sticks chasing a ball - pure joy and excitement.,মণিপুৰৰ পোলো খেল এক অনন্য খেল ছিল। ছোৱা ঘোঁতৰ ওপৰত বাঁহৰ লাঠি নিয়া খেলা - খিলাৰ শুদ্ধ আনন্দ।,"sport,polo,manipur"
14,Assamese Bihuwor Axali,Didimaar Axali,Tezpur,🍛,"The morning after Bihu night, women prepare the traditional Axali feast. Rice cooked in new pot, curd, pitha and jolpan shared with neighbors.","বিহুৰ পৰদিনে নাৰীসকলে নতুন ভাঁড়াৰে ভাত ৰান্ধি পিঠা,  দই আৰু জলপান প্ৰস্তুত কৰে।","food,family,bihu"
15,Mizo Tlawmngaihna Tradition,Mizo Tlawmngaihna,Lunglei,🤝,The Mizo principle of selfless service - from helping neighbors build houses to community farming. This value was taught to us from childhood.,মিজো সংস্কৃতিত নিঃস্বাৰ্থ সেৱাৰ শিক্ষা দিয়া হয়। প্ৰত্যেকে প্ৰত্যেকক সহায় কৰাৰ অভ্যাস আছে।,"tradition,community,mizoram"
16,Tripura Garia Puja Dance,Garia Nritya,Agartala,💃,"During Garia Puja, the entire Tripuri community dances Garia Nritya. The rhythmic beating of drums and the colorful costumes create a magical atmosphere.",গাৰিয়া পূজাত সমগ্ৰ ত্ৰিপুৰিয়া সমাজে নৃত্য কৰে। ঢকৰ বাজনা আৰু ৰঙীন পোছাকৰ পৰিৱেশ অলৌকিক হয়।,"dance,festival,tripura"
17,Arunachal Losar Celebration,Losar Namgar,Tawang,🎊,Losar in Tawang Monastery is magical. Monks perform Cham dances with colorful masks. The entire town comes together in celebration.,তৱাঙ মঠত লোসাৰ পালন এক অলৌকিক অনুষ্ঠান। ভিক্ষুসকলে ৰঙীন মুখোশ পিন্ধি নৃত্য কৰে।,"festival,spiritual,arunachal"
18,Grandmother's Assamese Lullaby,Didimaar Lorori,Guwahati,🌙,"My grandmother sang Assamese lullabies that spoke of riverboats, elephant herds and moonlit paddy fields. Her voice was the comfort of childhood.","আজিউৱে অসমীয়া লোৰিলৰি গাইছিল। সেই গানত নৌকা,  হাতী আৰু চাঁদনি ৰাতিৰ ধান খেতিৰ কথা আছিল।","music,family,lullaby"
19,Naga Angami Feast,Angami Feast,Kohima,🍖,The Angami Sekrenyi feast where every family contributes meat and rice beer. Sharing food strengthens the bond of the community.,আঙামী শেক্ৰেনযী ভোজত প্ৰত্যেক পৰিয়ালে মাংস আৰু চাউলৰ মদ যোগদান কৰে।,"food,community,naga"
20,Assamese Xorai Ceremony,Asamiya Xorai,Barpeta,🫖,The moment of offering Xorai with betel nut to guests is deeply sacred in Assamese culture. It represents respect and acceptance.,অসমীয়া সংস্কৃতিত জোৰায় পান আৰু তামুল দিয়া এক পৱিত্ৰ আচাৰ। ই শ্ৰদ্ধা আৰু গ্ৰহণযোগ্যতাৰ প্ৰতীক।,"tradition,family,assam"
21,Shillong Music Scene,Shillong Music,Shillong,🎸,"Shillong's music scene was legendary. Every café had live bands playing rock, blues and Khasi melodies. The hill station pulsed with music.",শিলংৰ সংগীত দৃশ্য বিখ্যাত ছিল। প্ৰতিটো কেফেত লাইভ বেণ্ডে বজাইছিল।,"music,urban,khasi"
22,Assamese Bihu Dance Practice,Bihu Nritya Siksha,Jorhat,💃,"Every Bihu season, the young people would gather in the field to practice Bihu dance under the moonlight. The energy was infectious.",প্ৰতি বিহু মৌসুমত যুৱসমূহে মাতিয়ানে চাঁদনি ৰাতিত বিহু নৃত্য অভ্যাস কৰিছিল।,"dance,festival,bihu"
23,Meghalaya Root Bridge Trek,Root Bridge Bhraman,Shillong,🌉,Trekking to the living root bridge in Nongriat village was an adventure. The bridge made of roots over centuries is a wonder of nature.,নংৰিয়াট গাঁওত লিভিং ৰুট ৰিডজ পোৱা এক দুৰ্লভ অভিজ্ঞতা। প্ৰকৃতিৰ এটা অদ্ভুত সৃষ্টি।,"nature,trekking,khasi"
24,Manipur Lai Haraoba,Lai Haraoba,Imphal,🎭,The ancient Meitei festival of Lai Haraoba with its ritualistic dances depicting the creation of the universe. A living tradition of Manipur.,লাই হাৰাওবা মণিপুৰৰ এক প্ৰাচীন উৎসব যাত নৃত্যৰ মাজে বিশ্ব সৃষ্টিৰ কথা বুজায়।,"festival,dance,manipur"
25,Sikkimese Yak Herding,Yak Poona,Rumtek,🐂,The Sherpa communities of Sikkim herding yaks in the high pastures. The bell sounds of yaks echoing in the mountains create a peaceful melody.,সিকিমৰ শেৰ্পা সম্প্ৰদায়ে উচ্চ চৰাইত য়াঁক লৈ যায়। য়াঁকৰ ঘণ্টাৰ শব্দ পাৰ্বত্য অঞ্চলত শান্তিৰ সুৰ সৃষ্টি কৰে।,"nature,tradition,sikkim"
26,Naga Chang Dance,Chang Nritya,Mokokchung,💃,The Chang tribe's harvest dance with synchronized movements and traditional chants. Men and women dance in circles celebrating the bounty of earth.,চাং উপজাতিৰ বালিখনি নৃত্য। পুৰুষ আৰু মহিলাসকলে ৰিং বনাই পৃথিৱীৰ সমৃদ্ধি উদ্‌যাপন কৰে।,"dance,festival,naga"
27,Assamese Jolpan Culture,Jolpan Asam,Guwahati,🍵,"The morning jolpan of Assam - pitha, laru, doi, and xandoh. A breakfast tradition that brings families together every morning.","অসমৰ পুৱাৰ জলপান - পিঠা,  লাডু,  দই আৰু চান্দোহ। এটা পৰিবাৰিক আচাৰ যিয়ে সকলোকে একেলগে লাগায়।","food,family,breakfast"
28,Cherrapunji Waterfall Stories,Cherrapunji Jharna,Cherrapunji,💧,The thundering waterfalls of Cherrapunji inspired countless Khasi legends. Grandparents would tell stories of water spirits guarding the falls.,চিৰাপঞ্জিৰ ঝৰবোৰে অসংখ্য খাসী কিংবদন্তীৰ উৎস হৈছে।,"nature,legend,meghalaya"
29,Tripura Birchandra Library,Birchandra Library,Agartala,📚,The Birchandra State Central Library in Agartala holds treasures of Tripuri literature and history. My grandfather took me there every Sunday.,বীৰেন্দ্ৰ গ্ৰন্থাগাৰত ত্ৰিপুৰাৰ সাহিত্য আৰু ইতিহাসৰ ভঁৰাল আছে।,"history,education,tripura"
30,Arunachal Tawang Snow,Tawang Himshikhar,Tawang,❄️,"The first snowfall in Tawang village. Children building snow figures while elders warm themselves by the fire, telling stories of ancient Monpa kings.",তৱাঙ গাঁওত প্ৰথম বৰফ পৰিছিল। শিশুসকলে বৰফে খেলি আছিল আৰু বৃদ্ধসকলে আগুনৰ কষাই বহি আছিল।,"nature,winter,arunachal"
31,Assamese Magh Bihu Bonfire,Magh Bihu Agun,Guwahati,🔥,"Magh Bihu night with the grand bonfire (meji) in the field. Families gather around the fire, share food and welcome the harvest.",মাঘ বিহুত মেজী ৰাঁধি আগুন জালাই আনন্দ কৰোঁ। পৰিয়ালে একেলগে খাদ্য বিতৰণ কৰে।,"festival,food,bonfire"
32,Khasi Pomblang Ritual,Pomblang Shnong,Shillong,🙏,The sacred Pomblang ritual of the Khasi people where a goat is offered to the deity. The community prays for protection and prosperity.,খাসী লোকৰ পৱিত্ৰ পমব্লাঙ আচাৰ। সম্প্ৰদায়ে রক্ষা আৰু সমৃদ্ধিৰ বাবে প্ৰাৰ্থনা কৰে।,"spiritual,tradition,khasi"
33,Mizo Thalfavut Re, Thalfavut,Champhai,🌿,The traditional Mizo practice of communal farming where everyone works together in the jhum fields. It strengthens community bonds.,মিজো সংস্কৃতিত সম্মিলিত খেতিৰ পৰম্পৰা। সকলো মিলি জুম খেতিত কাম কৰে।,"tradition,agriculture,mizoram"
34,Manipur Thabal Chongba,Thabal Chongba,Imphal,🌙,The full moon dance of young Meitei men and women holding hands and singing traditional songs. A beautiful expression of Meitei youth culture.,মৈতৈ যুৱসমূহে পূৰ্ণিমাৰ চাঁদনি ৰাতিত হাত ধৰি পুৰণি গান গাই নাচে।,"dance,tradition,manipur"
35,Naga Hornbill Festival Dance,Hornbill Nritya,Kohima,🦅,The grand dance performances at Hornbill Festival where all Naga tribes showcase their traditional dances. A celebration of Naga unity.,হৰ্ণবিল উৎসবত সকলো নাগা উপজাতিয়ে নিজ নিজ নৃত্য উপস্থাপন কৰে। নাগা ঐক্যৰ উৎসব।,"festival,dance,naga"
36,Sikkimese Chhut-Thai Puja,Chhut-Thai Puja,Gangtok,🙏,"The Buddhist prayer ceremony in Sikkimese homes with butter lamps, prayer wheels and monks chanting. A moment of deep spiritual connection.","সিকিমৰ ঘৰত বৌদ্ধ প্ৰাৰ্থনা। মণ্ডল,  প্ৰাৰ্থনা চাক আৰু ভিক্ষুৰ জাপ এক গভীৰ আধ্যাত্মিক সম্পৰ্ক সৃষ্টি কৰে।","spiritual,tradition,sikkim"
