id,title,titleAssamese,category,description,emoji,theme
28,Assamese Bhupen Hazarika songs,Bhupen Hazarika Geet,Music,"The immortal songs of Dr. Bhupen Hazarika, the cultural icon of Assam whose music transcends borders.",🎶,Assamese Music
29,Khasi Nongkrem Dance,Nongkrem Nritya,Dance,"A sacred thanksgiving dance performed by Khasi women during the Nongkrem festival to honor Ka Blei Synshar.",🙏,Khasi Dance
30,Naga Morung System,Naga Morung,Heritage,"The traditional community dormitory system of Naga tribes where young men learn warfare, culture and community values.",🏠,Naga Heritage
31,Mizo Solikhia Tradition,Solikhia Ka Zai,Tradition,"The traditional Mizo practice of courtship through music and poetry, where young men sing outside a girl's house.",💌,Mizo Tradition
32,Assamese Tussar Silk,Tussar Resam,Textile,"The wild silk of Assam with its natural dark texture, used to create beautiful Mekhela Sador and traditional garments.",✨,Assamese Craft
33,Sikkimese Losar Festival,Losar,Guru Rinpoche,"The Tibetan New Year celebrated in Sikkim with mask dances, butter sculptures and community prayers at monasteries.",🎊,Sikkim Festival
34,Manipur Polo,Polo,Sport,"Manipur is considered the birthplace of modern polo, with traditional Sagol Kangjei played for centuries.",🐴,Manipur Heritage
35,Arunachal Nyokum Festival,Nyokum Yullo,Festival,"The harvest festival of the Nyishi tribe in Arunachal Pradesh, invoking the deity Nyokum for prosperity and well-being.",🎉,Arunachal Festival
36,Tripura Kok Borok Language,Kok Borok,Language,"The native Tripuri language spoken by the Tripuri people, rich in oral literature and folk traditions.",🗣️,Tripura Culture
37,Assamese Jaapi Making,Jaapi Nirman,Craft,"The traditional craft of making Jaapi from bamboo strips and Tokou palm leaves, requiring skilled craftsmanship.",🎋,Assamese Craft
38,Cherrapunji Rainfall,Cherrapunji Meghlaya,Nature,"Known as one of the wettest places on Earth, Cherrapunji's monsoon rains shape the culture and architecture of Khasi hills.",🌧️,Meghalaya Nature
39,Mizo Chai Ceremony,Chai Puna,Tradition,"The traditional Mizo tea ceremony where families gather to share tea and stories, strengthening community bonds.",☕,Mizo Tradition
40,Naga Angami Sekrenyi,Sekrenyi Festival,Festival,"The purification festival of the Angami Nagas, marking the end of the agricultural year with rituals and feasting.",🎊,Naga Festival
